Feeling Word (EN),Feeling Word (ES),Feeling Word (PT),Feeling Word (IT),It might relate to (EN),It might relate to (ES),It might relate to (PT),It might relate to (IT),Adaptive Explanation (EN),Adaptive Explanation (ES),Adaptive Explanation (PT),Adaptive Explanation (IT)
Enlightened,Iluminado,Iluminado,Illuminato,Clarity / Understanding,Claridad / Comprensión,Clareza / Compreensão,Chiarezza / Comprensione,"Illuminates truth or insight, enabling growth and transformation.","Ilumina la verdad o la perspicacia, lo que permite el crecimiento y la transformación.","Ilumina a verdade ou a percepção, possibilitando o crescimento e a transformação.","Illumina la verità o l'intuizione, consentendo la crescita e la trasformazione."
Informed,Informado,Informado,Informato,Clarity / Understanding,Claridad / Comprensión,Clareza / Compreensão,Chiarezza / Comprensione,Supports empowered choices by grounding decisions in relevant knowledge.,Apoya las elecciones empoderadas al basar las decisiones en conocimientos relevantes.,Apoia escolhas empoderadas ao basear decisões em conhecimento relevante.,Supporta scelte potenziate basando le decisioni su conoscenze rilevanti.
Insightful,Perspicaz,Perspicaz,Perspicace,Clarity / Understanding,Claridad / Comprensión,Clareza / Compreensão,Chiarezza / Comprensione,"Reveals deeper truths or connections, enhancing judgment and foresight.","Revela verdades o conexiones más profundas, mejorando el juicio y la previsión.","Revela verdades ou conexões mais profundas, aprimorando o julgamento e a previsão.","Rivela verità o connessioni più profonde, migliorando il giudizio e la lungimiranza."
Lucid,Lúcido,Lúcido,Lucido,Clarity / Understanding,Claridad / Comprensión,Clareza / Compreensão,Chiarezza / Comprensione,"Promotes clear thinking and communication, even in complex situations.","Promueve el pensamiento y la comunicación claros, incluso en situaciones complejas.","Promove o pensamento e a comunicação claros, mesmo em situações complexas.","Promuove un pensiero e una comunicazione chiari, anche in situazioni complesse."
Perceptive,Perceptivo,Perceptivo,Percettivo,Clarity / Understanding,Claridad / Comprensión,Clareza / Compreensão,Chiarezza / Comprensione,Enhances social and situational understanding through noticing subtle cues.,Mejora la comprensión social y situacional al notar las señales sutiles.,Aprimora a compreensão social e situacional através da percepção de sinais sutis.,Migliora la comprensione sociale e situazionale notando segnali sottili.
Transparent,Transparente,Transparente,Trasparente,Clarity / Understanding,Claridad / Comprensión,Clareza / Compreensão,Chiarezza / Comprensione,Builds trust and alignment through openness and honesty.,Construye confianza y alineación a través de la apertura y la honestidad.,Constrói confiança e alinhamento através da abertura e honestidade.,Costruisce fiducia e allineamento attraverso l'apertura e l'onestà.
Understanding,Comprensivo,Compreensivo,Comprensivo,Clarity / Understanding,Claridad / Comprensión,Clareza / Compreensão,Chiarezza / Comprensione,Facilitates empathy and connection by grasping meaning or perspective.,Facilita la empatía y la conexión al captar el significado o la perspectiva.,Facilita a empatia e a conexão ao compreender significado ou perspectiva.,Facilita l'empatia e la connessione cogliendo il significato o la prospettiva.
Conscientious,Concienzudo,Consciencioso,Coscienzioso,Commitment,Compromiso,Compromisso,Impegno,"Motivates thorough, ethical action, supporting high standards and accountability.","Motiva una acción minuciosa y ética, apoyando altos estándares y la responsabilidad.","Motiva uma ação minuciosa e ética, apoiando altos padrões e responsabilidade.","Motiva un'azione scrupolosa ed etica, supportando alti standard e responsabilità."
Dedicated,Dedicado,Dedicado,Dedicato,Commitment,Compromiso,Compromisso,Impegno,"Focuses energy on a meaningful goal, building purpose and persistence.","Enfoca la energía en una meta significativa, construyendo propósito y persistencia.","Foca a energia em um objetivo significativo, construindo propósito e persistência.","Concentra l'energia su un obiettivo significativo, costruendo scopo e persistenza."
Devoted,Devoto,Devoto,Devoto,Commitment,Compromiso,Compromisso,Impegno,Deepens bonds and alignment by giving sustained care to people or causes.,Profundiza los lazos y la alineación al brindar un cuidado sostenido a personas o causas.,Aprofunda laços e alinhamento dando cuidado sustentado a pessoas ou causas.,Approfondisce i legami e l'allineamento dando cure sostenute a persone o cause.
Faithful,Fiel,Fiel,Fedele,Commitment,Compromiso,Compromisso,Impegno,Builds trust through consistency and alignment with values over time.,Construye confianza a través de la consistencia y la alineación con los valores a lo largo del tiempo.,Constrói confiança através da consistência e alinhamento com os valores ao longo do tempo.,Costruisce fiducia attraverso la coerenza e l'allineamento con i valori nel tempo.
Firm,Firme,Firme,Fermo,Commitment,Compromiso,Compromisso,Impegno,"Signals clarity and conviction, supporting effective boundaries and leadership.","Señala claridad y convicción, apoyando límites y liderazgo efectivos.","Sinaliza clareza e convicção, apoiando limites e liderança eficazes.","Segnala chiarezza e convinzione, supportando confini e leadership efficaci."
Loyal,Leal,Leal,Leale,Commitment,Compromiso,Compromisso,Impegno,Strengthens relationships and shared identity through dependable support.,Fortalece las relaciones y la identidad compartida a través del apoyo confiable.,Fortalece relacionamentos e identidade compartilhada através de apoio confiável.,Rafforza le relazioni e l'identità condivisa attraverso un supporto affidabile.
Reliable,Confiable,Confiável,Affidabile,Commitment,Compromiso,Compromisso,Impegno,Fosters trust and collaboration by showing up consistently and dependably.,Fomenta la confianza y la colaboración al presentarse de manera consistente y confiable.,Fomenta a confiança e a colaboração aparecendo consistentemente e de forma confiável.,Favorisce la fiducia e la collaborazione presentandosi in modo coerente e affidabile.
Resolute,Resuelto,Resoluto,Risoluto,Commitment,Compromiso,Compromisso,Impegno,Supports clear direction and endurance during uncertainty or challenge.,Apoya una dirección clara y la resistencia durante la incertidumbre o el desafío.,Apoia direção clara e resistência durante incerteza ou desafio.,Supporta una direzione chiara e la resistenza durante incertezza o sfida.
Steadfast,"Firme, Inquebrantable","Firme, Constante","Fermo, Incrollabile",Commitment,Compromiso,Compromisso,Impegno,"Reinforces inner resolve in the face of difficulty, strengthening resilience.","Refuerza la determinación interna ante la dificultad, fortaleciendo la resiliencia.","Reforça a resolução interna diante da dificuldade, fortalecendo a resiliência.","Rafforza la risolutezza interiore di fronte alle difficoltà, rafforzando la resilienza."
TRUE,Verdadero,Verdadeiro,Vero,Commitment,Compromiso,Compromisso,Impegno,"Aligns identity and behavior with core principles, enhancing authenticity.","Alinea la identidad y el comportamiento con los principios fundamentales, mejorando la autenticidad.","Alinha a identidade e o comportamento com princípios centrais, aprimorando a autenticidade.","Allinea l'identità e il comportamento con i principi fondamentali, migliorando l'autenticità."
Trustworthy,Confiable,Confiável,Degno di fiducia,Commitment,Compromiso,Compromisso,Impegno,Builds credibility and connection by acting with integrity and follow-through.,Construye credibilidad y conexión al actuar con integridad y cumplimiento.,Constrói credibilidade e conexão agindo com integridade e seguimento.,Costruisce credibilità e connessione agendo con integrità e coerenza.
Unwavering,Inquebrantable,Inabalável,Incrollabile,Commitment,Compromiso,Compromisso,Impegno,Sustains focus on values or goals despite external pressure or doubt.,Mantiene el enfoque en los valores o metas a pesar de la presión externa o la duda.,Sustenta o foco em valores ou objetivos apesar da pressão externa ou da dúvida.,Sostiene la concentrazione su valori o obiettivi nonostante la pressione esterna o il dubbio.
Affiliated,Afiliado,Afiliado,Affiliato,Connection,Conexión,Conexão,Connessione,Supports identity and wellbeing through meaningful group membership.,Apoya la identidad y el bienestar a través de la pertenencia a un grupo significativo.,Apoia a identidade e o bem-estar através de uma afiliação a um grupo significativa.,Supporta l'identità e il benessere attraverso un'appartenenza a un gruppo significativa.
Aligned,Alineado,Alinhado,Allineato,Connection,Conexión,Conexão,Connessione,Enhances collaboration by recognizing shared direction or values.,Mejora la colaboración al reconocer una dirección o valores compartidos.,Aprimora a colaboração ao reconhecer direção ou valores compartilhados.,Migliora la collaborazione riconoscendo una direzione o valori condivisi.
Bonded,Unido,Unido,Legato,Connection,Conexión,Conexão,Connessione,Deepens trust and emotional closeness through shared experience.,Profundiza la confianza y la cercanía emocional a través de la experiencia compartida.,Aprofunda a confiança e a proximidade emocional através da experiência compartilhada.,Approfondisce la fiducia e la vicinanza emotiva attraverso l'esperienza condivisa.
Close,Cercano,Próximo,Vicino,Connection,Conexión,Conexão,Connessione,Fosters trust and openness in emotionally meaningful relationships.,Fomenta la confianza y la apertura en relaciones emocionalmente significativas.,Fomenta a confiança e a abertura em relacionamentos emocionalmente significativos.,Favorisce la fiducia e l'apertura in relazioni emotivamente significative.
Connected,Conectado,Conectado,Connesso,Connection,Conexión,Conexão,Connessione,"Supports belonging and mutual understanding, which build emotional health.","Apoya el sentido de pertenencia y la comprensión mutua, que construyen salud emocional.","Apoia o pertencimento e a compreensão mútua, que constroem a saúde emocional.","Supporta il senso di appartenenza e la comprensione reciproca, che costruiscono la salute emotiva."
Engaged,Comprometido,Engajado,Impegnato,Connection,Conexión,Conexão,Connessione,Supports meaningful involvement and presence in relationships or shared goals.,Apoya una participación y presencia significativas en las relaciones o metas compartidas.,Apoia envolvimento significativo e presença em relacionamentos ou objetivos compartilhados.,Supporta un coinvolgimento e una presenza significativi nelle relazioni o negli obiettivi condivisi.
Harmonious,Armonioso,Harmonioso,Armonioso,Connection,Conexión,Conexão,Connessione,Promotes collaboration and emotional alignment in relationships.,Promueve la colaboración y la alineación emocional en las relaciones.,Promove a colaboração e o alinhamento emocional em relacionamentos.,Promuove la collaborazione e l'allineamento emotivo nelle relazioni.
Integrated,Integrado,Integrado,Integrato,Connection,Conexión,Conexão,Connessione,Reflects a sense of wholeness and belonging within a group or system.,Refleja un sentido de totalidad y pertenencia dentro de un grupo o sistema.,Reflete um senso de totalidade e pertencimento dentro de um grupo ou sistema.,Riflette un senso di completezza e appartenenza all'interno di un gruppo o sistema.
Interconnected,Interconectado,Interconectado,Interconnesso,Connection,Conexión,Conexão,Connessione,"Deepens awareness of mutual influence, supporting cooperation and care.","Profundiza la conciencia de la influencia mutua, apoyando la cooperación y el cuidado.","Aprofunda a consciência da influência mútua, apoiando a cooperação e o cuidado.","Approfondisce la consapevolezza dell'influenza reciproca, supportando la cooperazione e la cura."
Intimate,Íntimo,Íntimo,Intimo,Connection,Conexión,Conexão,Connessione,Enhances emotional depth and vulnerability in trusted relationships.,Mejora la profundidad emocional y la vulnerabilidad en relaciones de confianza.,Aprimora a profundidade emocional e a vulnerabilidade em relacionamentos de confiança.,Migliora la profondità emotiva e la vulnerabilità nelle relazioni di fiducia.
Related,Relacionado,Relacionado,Correlato,Connection,Conexión,Conexão,Connessione,"Affirms emotional or experiential connection, strengthening empathy.","Afirma la conexión emocional o experiencial, fortaleciendo la empatía.","Afirma a conexão emocional ou experiencial, fortalecendo a empatia.","Afferma la connessione emotiva o esperienziale, rafforzando l'empatia."
United,Unido,Unido,Unito,Connection,Conexión,Conexão,Connessione,Strengthens collective identity and purpose through shared alignment.,Fortalece la identidad y el propósito colectivos a través de una alineación compartida.,Fortalece a identidade e o propósito coletivos através do alinhamento compartilhado.,Rafforza l'identità e lo scopo collettivi attraverso un allineamento condiviso.
Lonely,Solitario,Solitário,Solitario,Connection / Isolation,Conexión / Aislamiento,Conexão / Isolamento,Connessione / Isolamento,Indicates a need for meaningful connection or belonging.,Indica una necesidad de conexión significativa o pertenencia.,Indica uma necessidade de conexão significativa ou pertencimento.,Indica un bisogno di connessione significativa o di appartenenza.
Artistic,Artístico,Artístico,Artistico,Creativity / Expression,Creatividad / Expresión,Criatividade / Expressão,Creatività / Espressione,Channels emotion and perspective into forms that evoke meaning or beauty.,Canaliza la emoción y la perspectiva en formas que evocan significado o belleza.,Canaliza emoção e perspectiva em formas que evocam significado ou beleza.,Canalizza emozioni e prospettive in forme che evocano significato o bellezza.
Creative,Creativo,Criativo,Creativo,Creativity / Expression,Creatividad / Expresión,Criatividade / Expressão,Creatività / Espressione,Enables new solutions by generating original and meaningful ideas.,Habilita nuevas soluciones al generar ideas originales y significativas.,Habilita novas soluções gerando ideias originais e significativas.,Abilita nuove soluzioni generando idee originali e significative.
Expressive,Expresivo,Expressivo,Espressivo,Creativity / Expression,Creatividad / Expresión,Criatividade / Expressão,Creatività / Espressione,Enhances communication and emotional clarity through authentic sharing.,Mejora la comunicación y la claridad emocional a través de un intercambio auténtico.,Aprimora a comunicação e a clareza emocional através de compartilhamento autêntico.,Migliora la comunicazione e la chiarezza emotiva attraverso la condivisione autentica.
Imaginative,Imaginativo,Imaginativo,Immaginativo,Creativity / Expression,Creatividad / Expresión,Criatividade / Expressão,Creatività / Espressione,Expands possibility by exploring ideas beyond current constraints.,Expande la posibilidad al explorar ideas más allá de las limitaciones actuales.,Expande a possibilidade explorando ideias além das restrições atuais.,Espande la possibilità esplorando idee al di là dei vincoli attuali.
Ingenious,Ingenioso,Engenhoso,Ingegnoso,Creativity / Expression,Creatividad / Expresión,Criatividade / Expressão,Creatività / Espressione,Supports elegant problem-solving through clever and effective thinking.,Apoya la resolución de problemas elegante a través de un pensamiento ingenioso y efectivo.,Apoia a resolução de problemas elegante através de pensamento inteligente e eficaz.,Supporta una risoluzione dei problemi elegante attraverso un pensiero astuto ed efficace.
Innovative,Innovador,Inovador,Innovativo,Creativity / Expression,Creatividad / Expresión,Criatividade / Expressão,Creatività / Espressione,Drives progress by rethinking existing systems or challenges.,Impulsa el progreso al repensar los sistemas o desafíos existentes.,Impulsiona o progresso ao repensar sistemas ou desafios existentes.,Guida il progresso ripensando i sistemi o le sfide esistenti.
Inspired,Inspirado,Inspirado,Ispirato,Creativity / Expression,Creatividad / Expresión,Criatividade / Expressão,Creatività / Espressione,Activates motivation and creativity through emotional resonance.,Activa la motivación y la creatividad a través de la resonancia emocional.,Ativa a motivação e a criatividade através da ressonância emocional.,Attiva la motivazione e la creatività attraverso la risonanza emotiva.
Inventive,Inventivo,Inventivo,Inventivo,Creativity / Expression,Creatividad / Expresión,Criatividade / Expressão,Creatività / Espressione,Solves problems resourcefully by combining insight with imagination.,Resuelve problemas con ingenio al combinar la perspicacia con la imaginación.,Resolve problemas com desenvoltura combinando percepção com imaginação.,Risolve i problemi con ingegno combinando intuizione e immaginazione.
Original,Original,Original,Originale,Creativity / Expression,Creatividad / Expresión,Criatividade / Expressão,Creatività / Espressione,Contributes distinct value by thinking or creating in new ways.,Contribuye con un valor distinto al pensar o crear de nuevas maneras.,Contribui com valor distinto pensando ou criando de novas maneiras.,Contribuisce con un valore distinto pensando o creando in modi nuovi.
Resourceful,Ingenioso,Engenhoso,Pieno di risorse,Creativity / Expression,Creatividad / Expresión,Criatividade / Expressão,Creatività / Espressione,Adapts to challenges by making the most of what is available.,Se adapta a los desafíos aprovechando al máximo lo que está disponible.,Adapta-se a desafios tirando o máximo proveito do que está disponível.,Si adatta alle sfide sfruttando al meglio ciò che è disponibile.
Unique,Único,Único,Unico,Creativity / Expression,Creatividad / Expresión,Criatividade / Expressão,Creatività / Espressione,"Celebrates individual difference, inviting authenticity and innovation.","Celebra la diferencia individual, invitando a la autenticidad y la innovación.","Celebra a diferença individual, convidando à autenticidade e inovação.","Celebra la differenza individuale, invitando all'autenticità e all'innovazione."
Visionary,Visionario,Visionario,Visionario,Creativity / Expression,Creatividad / Expresión,Criatividade / Expressão,Creatività / Espressione,Guides long-term purpose by imagining what could be beyond the present.,Guía el propósito a largo plazo al imaginar lo que podría ser más allá del presente.,Guia o propósito a longo prazo imaginando o que poderia ser além do presente.,Guida lo scopo a lungo termine immaginando ciò che potrebbe esserci al di là del presente.
Caring,"Solidario, Cuidadoso","Atencioso, Prestativo","Premuroso, Affettuoso",Empathy / Compassion,Empatía / Compasión,Empatia / Compaixão,Empatia / Compassione,Builds bonds by showing emotional investment in others’ wellbeing.,Construye lazos al mostrar una inversión emocional en el bienestar de los demás.,Constrói laços mostrando investimento emocional no bem-estar dos outros.,Costruisce legami mostrando un investimento emotivo nel benessere degli altri.
Compassionate,Compasivo,Compassivo,Compassionevole,Empathy / Compassion,Empatía / Compasión,Empatia / Compaixão,Empatia / Compassione,Motivates caring action by recognizing and valuing others’ suffering.,Motiva una acción afectuosa al reconocer y valorar el sufrimiento de los demás.,Motiva a ação de cuidado reconhecendo e valorizando o sofrimento dos outros.,Motiva un'azione premurosa riconoscendo e valorizzando la sofferenza degli altri.
Considerate,Considerado,Considerado,"Premuroso, Riguardoso",Empathy / Compassion,Empatía / Compasión,Empatia / Compaixão,Empatia / Compassione,Reduces harm and enhances belonging by anticipating others’ needs.,Reduce el daño y mejora el sentido de pertenencia al anticipar las necesidades de los demás.,Reduz danos e aumenta o pertencimento ao antecipar as necessidades dos outros.,Riduce il danno e migliora il senso di appartenenza anticipando i bisogni degli altri.
Empathetic,Empático,Empático,Empatico,Empathy / Compassion,Empatía / Compasión,Empatia / Compaixão,Empatia / Compassione,Deepens connection and trust by attuning to others' emotional experience.,Profundiza la conexión y la confianza al sintonizar con la experiencia emocional de los demás.,Aprofunda a conexão e a confiança sintonizando com a experiência emocional dos outros.,Approfondisce la connessione e la fiducia sintonizzandosi con l'esperienza emotiva degli altri.
Humane,Humano,Humano,Umano,Empathy / Compassion,Empatía / Compasión,Empatia / Compaixão,Empatia / Compassione,"Affirms shared dignity and fosters ethical, compassionate choices.",Afirma la dignidad compartida y fomenta elecciones éticas y compasivas.,Afirma a dignidade compartilhada e fomenta escolhas éticas e compassivas.,Afferma la dignità condivisa e favorisce scelte etiche e compassionevoli.
Kind,Amable,Gentil,Gentile,Empathy / Compassion,Empatía / Compasión,Empatia / Compaixão,Empatia / Compassione,"Strengthens connection through generosity, warmth, and gentleness.","Fortalece la conexión a través de la generosidad, la calidez y la dulzura.","Fortalece a conexão através de generosidade, calor e gentileza.","Rafforza la connessione attraverso la generosità, il calore e la delicatezza."
Loving,Amoroso,Amoroso,Amorevole,Empathy / Compassion,Empatía / Compasión,Empatia / Compaixão,Empatia / Compassione,Nourishes deep connection and emotional safety through care and affection.,Nutre una conexión profunda y la seguridad emocional a través del cuidado y el afecto.,Nutre uma conexão profunda e segurança emocional através de cuidado e afeto.,Nutre una profonda connessione e sicurezza emotiva attraverso la cura e l'affetto.
Sympathetic,Compasivo,Solidário,Solidale,Empathy / Compassion,Empatía / Compasión,Empatia / Compaixão,Empatia / Compassione,Provides emotional support by recognizing and validating others’ distress.,Proporciona apoyo emocional al reconocer y validar la angustia de los demás.,Fornece apoio emocional reconhecendo e validando a angústia dos outros.,Fornisce supporto emotivo riconoscendo e convalidando il disagio degli altri.
Tender,Tierno,Terno,Tenero,Empathy / Compassion,Empatía / Compasión,Empatia / Compaixão,Empatia / Compassione,Encourages vulnerability and trust through gentle presence.,Fomenta la vulnerabilidad y la confianza a través de una presencia suave.,Incentiva a vulnerabilidade e a confiança através de presença gentil.,Incoraggia la vulnerabilità e la fiducia attraverso una presenza delicata.
Understanding,Comprensivo,Compreensivo,Comprensivo,Empathy / Compassion,Empatía / Compasión,Empatia / Compaixão,Empatia / Compassione,Facilitates emotional closeness by seeing from another’s perspective.,Facilita la cercanía emocional al ver desde la perspectiva de otra persona.,Facilita a proximidade emocional ao ver da perspectiva de outro.,Facilita la vicinanza emotiva vedendo dalla prospettiva di un altro.
Surprised,Sorprendido,Surpreso,Sorpreso,Expectations / Novelty,Expectativas / Novedad,Expectativas / Novidade,Aspettative / Novità,"Draws attention to the unexpected, helping you reorient and learn.","Llama la atención sobre lo inesperado, ayudándote a reorientarte y aprender.","Chama a atenção para o inesperado, ajudando você a se reorientar e aprender.","Richiama l'attenzione sull'inaspettato, aiutandoti a riorientarti e imparare."
Disappointed,Decepcionado,Decepcionado,Deluso,Expectations / Outcome,Expectativas / Resultado,Expectativas / Resultado,Aspettative / Esito,"Highlights unmet hopes, encouraging reflection and resilience.","Destaca las esperanzas no cumplidas, fomentando la reflexión y la resiliencia.","Destaca esperanças não atendidas, incentivando a reflexão e a resiliência.","Mette in evidenza speranze non realizzate, incoraggiando la riflessione e la resilienza."
Resentful,Resentido,Ressentido,Risentito,Fairness / Reciprocity,Justicia / Reciprocidad,Justiça / Reciprocidade,Giustizia / Reciprocità,Brings awareness to perceived imbalance or injustice in relationships.,Trae conciencia sobre el desequilibrio o la injusticia percibidos en las relaciones.,Traz consciência para o desequilíbrio ou injustiça percebidos em relacionamentos.,Porta la consapevolezza su squilibri o ingiustizie percepite nelle relazioni.
Autonomous,Autónomo,Autônomo,Autonomo,Freedom,Libertad,Liberdade,Libertà,Enhances self-regulation and responsibility in decision-making.,Mejora la autorregulación y la responsabilidad en la toma de decisiones.,Aprimora a autorregulação e a responsabilidade na tomada de decisão.,Migliora l'autoregolamentazione e la responsabilità nel processo decisionale.
Free,Libre,Livre,Libero,Freedom,Libertad,Liberdade,Libertà,Enables authenticity and agency through unimpeded choice.,Permite la autenticidad y la capacidad de agencia a través de una elección sin impedimentos.,Possibilita a autenticidade e a agência através de escolhas desimpedidas.,Abilita l'autenticità e l'azione attraverso una scelta senza impedimenti.
Independent,Independiente,Independente,Indipendente,Freedom,Libertad,Liberdade,Libertà,Fosters self-direction and resilience by reducing reliance on others.,Fomenta la autodirección y la resiliencia al reducir la dependencia de los demás.,Fomenta a autodireção e a resiliência reduzindo a dependência dos outros.,Favorisce l'autodirezione e la resilienza riducendo la dipendenza dagli altri.
Liberated,Liberado,Libertado,Liberato,Freedom,Libertad,Liberdade,Libertà,Reinforces agency and transformation by breaking free from constraint or oppression.,Refuerza la capacidad de agencia y la transformación al liberarse de la restricción o la opresión.,Reforça a autonomia e a transformação ao se libertar de restrições ou opressão.,Rafforza l'autonomia e la trasformazione liberandosi dai vincoli o dall'oppressione.
Limitless,Ilimitado,Ilimitado,Illimitato,Freedom,Libertad,Liberdade,Libertà,Sparks possibility and vision by removing perceived boundaries.,Despierta la posibilidad y la visión al eliminar los límites percibidos.,Acende a possibilidade e a visão removendo limites percebidos.,Accende la possibilità e la visione rimuovendo i confini percepiti.
Sovereign,Soberano,Soberano,Sovrano,Freedom,Libertad,Liberdade,Libertà,Affirms self-rule and alignment with inner authority and values.,Afirma el autogobierno y la alineación con la autoridad y los valores internos.,Afirma a autogovernança e o alinhamento com a autoridade e os valores internos.,Afferma l'autogoverno e l'allineamento con l'autorità e i valori interiori.
Unbound,Sin ataduras,Sem amarras,Senza vincoli,Freedom,Libertad,Liberdade,Libertà,Encourages open exploration and creativity by releasing limiting beliefs or structures.,Fomenta la exploración abierta y la creatividad al liberar creencias o estructuras limitantes.,Incentiva a exploração aberta e a criatividade liberando crenças ou estruturas limitantes.,Incoraggia l'esplorazione aperta e la creatività rilasciando credenze o strutture limitanti.
Unconstrained,Sin restricciones,Irrestrito,Senza restrizioni,Freedom,Libertad,Liberdade,Libertà,"Allows for full expression and action without inhibition, promoting innovation.","Permite la expresión y la acción completas sin inhibición, lo que promueve la innovación.","Permite a expressão e a ação totais sem inibição, promovendo a inovação.","Consente la piena espressione e azione senza inibizioni, promuovendo l'innovazione."
Unrestricted,Sin restricciones,Sem restrições,Senza restrizioni,Freedom,Libertad,Liberdade,Libertà,Allows full engagement and exploration without imposed limits.,Permite un compromiso y una exploración completos sin límites impuestos.,Permite engajamento e exploração totais sem limites impostos.,Consente un pieno coinvolgimento ed esplorazione senza limiti imposti.
Unshackled,"Sin cadenas, Liberado","Sem grilhões, Libertado","Senza catene, Liberato",Freedom,Libertad,Liberdade,Libertà,"Restores autonomy after constraint, empowering renewed purpose or movement.","Restaura la autonomía después de la restricción, lo que empodera un propósito o movimiento renovado.","Restaura a autonomia após a restrição, empoderando um propósito ou movimento renovado.","Ripristina l'autonomia dopo un vincolo, potenziando un nuovo scopo o movimento."
Accomplished,Logrado,Realizado,Realizzato,Fulfillment,Plenitud,Realização,Appagamento,Reinforces competence and growth through achieved effort.,Refuerza la competencia y el crecimiento a través del esfuerzo logrado.,Reforça a competência e o crescimento através de esforço alcançado.,Rafforza la competenza e la crescita attraverso lo sforzo raggiunto.
Complete,Completo,Completo,Completo,Fulfillment,Plenitud,Realização,Appagamento,"Reflects wholeness, helping you integrate experience and move forward.","Refleja la totalidad, ayudándote a integrar la experiencia y a avanzar.","Reflete a totalidade, ajudando você a integrar a experiência e a seguir em frente.","Riflette la completezza, aiutandoti a integrare l'esperienza e ad andare avanti."
Content,Contento,Contente,Contento,Fulfillment,Plenitud,Realização,Appagamento,"Signals sufficiency and acceptance, supporting peace and wellbeing.","Indica la suficiencia y la aceptación, apoyando la paz y el bienestar.","Sinaliza suficiência e aceitação, apoiando a paz e o bem-estar.","Segnala sufficienza e accettazione, supportando la pace e il benessere."
Fulfilled,"Realizado, Satisfecho",Realizado,"Appagato, Soddisfatto",Fulfillment,Plenitud,Realização,Appagamento,Reflects a sense of meaning and satisfaction aligned with core values.,Refleja un sentido de significado y satisfacción alineado con los valores fundamentales.,Reflete um senso de significado e satisfação alinhado com valores centrais.,Riflette un senso di significato e soddisfazione allineato con i valori fondamentali.
Gratified,Complacido,Satisfeito,Gratificato,Fulfillment,Plenitud,Realização,Appagamento,Offers emotional reward for values-aligned actions or contributions.,Ofrece una recompensa emocional por acciones o contribuciones alineadas con los valores.,Oferece recompensa emocional por ações ou contribuições alinhadas com valores.,Offre una ricompensa emotiva per azioni o contributi allineati con i valori.
Happy,Feliz,Feliz,Felice,Fulfillment,Plenitud,Realização,Appagamento,"Signals positive alignment with current experience, boosting engagement.","Indica una alineación positiva con la experiencia actual, lo que aumenta el compromiso.","Sinaliza alinhamento positivo com a experiência atual, impulsionando o engajamento.","Segnala un allineamento positivo con l'esperienza attuale, aumentando il coinvolgimento."
Joyful,Alegre,Alegre,Gioioso,Fulfillment,Plenitud,Realização,Appagamento,Amplifies energy and connection through emotional uplift.,Amplifica la energía y la conexión a través de la elevación emocional.,Amplifica energia e conexão através da elevação emocional.,Amplifica l'energia e la connessione attraverso l'elevazione emotiva.
Realized,Realizado,Realizado,Realizzato,Fulfillment,Plenitud,Realização,Appagamento,Confirms that an aspiration or potential has been actualized.,Confirma que una aspiración o un potencial se ha hecho realidad.,Confirma que uma aspiração ou potencial foi atualizado.,Conferma che un'aspirazione o un potenziale sono stati realizzati.
Satisfied,Satisfecho,Satisfeito,Soddisfatto,Fulfillment,Plenitud,Realização,Appagamento,"Affirms goal completion or need fulfillment, promoting emotional balance.","Afirma la finalización de la meta o la satisfacción de la necesidad, lo que promueve el equilibrio emocional.","Afirma a conclusão do objetivo ou a satisfação da necessidade, promovendo o equilíbrio emocional.","Afferma il completamento dell'obiettivo o la soddisfazione del bisogno, promuovendo l'equilibrio emotivo."
Whole,"Completo, Íntegro",Completo,"Intero, Completo",Fulfillment,Plenitud,Realização,Appagamento,Promotes integrity and balance by affirming all parts of self are valued.,Promueve la integridad y el equilibrio al afirmar que todas las partes de uno mismo son valoradas.,Promove a integridade e o equilíbrio afirmando que todas as partes do eu são valorizadas.,Promuove l'integrità e l'equilibrio affermando che tutte le parti di sé sono valorizzate.
Advancing,Avanzando,Avançando,Avanzante,Growth / Development,Crecimiento / Desarrollo,Crescimento / Desenvolvimento,Crescita / Sviluppo,Indicates forward movement and momentum toward personal goals.,Indica el movimiento hacia adelante y el impulso hacia metas personales.,Indica movimento para a frente e impulso em direção a objetivos pessoais.,Indica un movimento in avanti e uno slancio verso gli obiettivi personali.
Confused,Confundido,Confuso,Confuso,Growth / Development,Crecimiento / Desarrollo,Crescimento / Desenvolvimento,Crescita / Sviluppo,Encourages further inquiry or reflection to resolve uncertainty.,Fomenta una mayor investigación o reflexión para resolver la incertidumbre.,Incentiva uma maior investigação ou reflexão para resolver a incerteza.,Incoraggia ulteriori indagini o riflessioni per risolvere l'incertezza.
Developing,Desarrollándose,Em desenvolvimento,In via di sviluppo,Growth / Development,Crecimiento / Desarrollo,Crescimento / Desenvolvimento,Crescita / Sviluppo,"Shows expansion of skill, maturity, or understanding over time.","Muestra la expansión de la habilidad, la madurez o la comprensión a lo largo del tiempo.","Mostra expansão de habilidade, maturidade ou compreensão ao longo do tempo.","Mostra un'espansione di abilità, maturità o comprensione nel tempo."
